stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
128110,65.55000305175781,38.939998626708984,0,0,0,1,0,0,0.1599999964237213,11,4,7,0,0,0,1,0,0,0,1,198601,5,0,0,0,0,1,0,1,1
402103,56.20000076293945,41.68000030517578,0,0,0,1,0,0,1.059999942779541,12,6,7,0,0,0,0,1,0,0,1,198603,5,0,0,0,0,1,0,1,2
175222,25.1299991607666,28.34000015258789,0,0,0,1,0,0,-0.2800000011920929,7,2,7,0,1,0,0,0,0,0,0,198608,2,0,1,0,0,0,0,NA,NA
286208,31.950000762939453,22.15999984741211,0,1,0,0,0,0,0.8399999737739563,6,7,2,0,0,0,0,0,1,0,1,198609,5,0,0,0,0,1,0,1,1
172105,36.13999938964844,25.34000015258789,0,0,0,1,0,0,-0.44999998807907104,8,2,7,0,1,0,0,0,0,0,0,198512,1,1,0,0,0,0,0,NA,NA
265231,65.56999969482422,32.900001525878906,0,0,0,1,0,0,0.10999999940395355,10,6,7,0,0,0,0,1,0,0,0,198603,5,0,0,0,0,1,0,1,2
117123,54.439998626708984,32.97999954223633,0,0,0,1,0,0,0.03999999910593033,10,2,7,0,1,0,0,0,0,0,1,198609,5,0,0,0,0,1,0,1,1
160225,43.130001068115234,34.4900016784668,0,0,0,1,0,0,-0.019999999552965164,10,3,7,0,0,1,0,0,0,0,1,198509,4,0,0,0,1,0,0,0,-3
303218,35.54999923706055,19.219999313354492,0,1,0,0,0,0,-0.8199999928474426,8,2,2,0,1,0,0,0,0,0,0,198608,NA,NA,NA,NA,NA,NA,NA,NA,NA
105128,52.900001525878906,33.88999938964844,0,0,0,1,0,0,0.5699999928474426,10,6,7,0,0,0,0,1,0,0,1,198511,5,0,0,0,0,1,0,1,2
